index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops
64,Star Air,2025-12-18,Ahmedabad,Varanasi,AHM-CHE-VAR,09:53,18:40,1h 15min,1 stop
65,Air India,2023-04-13,Hyderabad,Bangalore,HYD-MUM-BAN,00:01,20:17,11h 30min,1 stop
66,Air India,2024-01-20,Surat,Goa,SUR-KOL-AHM-GOA,01:52,04:38,12h 0min,2 stops
67,GoAir,2021-05-05,Ahmedabad,Delhi,AHM-DEL,06:35,01:02,11h 15min,non-stop
68,SpiceJet,2024-11-12,Mumbai,Lucknow,MUM-HYD-PUN-LUC,13:05,22:23,11h 0min,2 stops
69,Akasa Air,2021-01-16,Lucknow,Kolkata,LUC-DEL-KOL,03:11,02:17,13h 45min,1 stop
70,Air India,2022-09-18,Chennai,Lucknow,CHE-BHU-DEL-RAI-LUC,21:27,08:37,10h 45min,3 stops
71,Alliance Air,2020-06-24,Raipur,Patna,RAI-LUC-PAT,20:19,16:18,8h 45min,1 stop
72,Vistara,2021-06-08,Indore,Cochin,IND-PUN-COC,19:16,02:56,9h 30min,1 stop
73,GoAir,2022-05-01,Delhi,Raipur,DEL-LUC-AHM-RAI,20:28,05:46,8h 15min,2 stops
74,GoAir,2024-10-07,Varanasi,Ahmedabad,VAR-COC-BHU-AHM,05:33,20:48,3h 0min,2 stops
75,SpiceJet,2025-04-16,Mumbai,Raipur,MUM-CHE-RAI,11:29,14:14,11h 45min,1 stop
76,Akasa Air,2022-06-08,Delhi,Varanasi,DEL-BHU-RAI-LUC-VAR,00:41,15:36,2h 0min,3 stops
77,Vistara,2021-06-11,Pune,Jaipur,PUN-BAN-IND-NAG-JAI,15:01,01:33,13h 30min,3 stops
78,Vistara,2025-12-18,Cochin,Lucknow,COC-LUC,01:51,03:11,4h 30min,non-stop
79,GoAir,2020-09-11,Pune,Cochin,PUN-IND-COC,13:03,15:30,6h 0min,1 stop
80,Air India,2020-11-01,Delhi,Patna,DEL-IND-HYD-BHU-PAT,13:18,11:17,1h 45min,3 stops
81,SpiceJet,2023-10-16,Patna,Mumbai,PAT-SUR-KOL-HYD-MUM,18:14,23:29,3h 0min,3 stops
82,Star Air,2021-03-01,Mumbai,Bhubaneswar,MUM-BAN-BHU,21:30,12:55,13h 15min,1 stop
83,Alliance Air,2023-09-28,Guwahati,Nagpur,GUW-PAT-AHM-CHE-NAG,15:28,17:01,14h 0min,3 stops
84,AirAsia India,2024-03-17,Bhubaneswar,Patna,BHU-MUM-IND-PAT,21:24,19:38,9h 15min,2 stops
85,TruJet,2020-03-07,Pune,Delhi,PUN-DEL,18:20,02:35,5h 0min,non-stop
86,GoAir,2025-01-04,Jaipur,Raipur,JAI-HYD-DEL-RAI,14:16,01:43,15h 0min,2 stops
87,SpiceJet,2023-02-01,Bhubaneswar,Guwahati,BHU-COC-GOA-GUW,21:02,06:42,14h 0min,2 stops
88,Akasa Air,2021-06-15,Raipur,Pune,RAI-PUN,15:40,01:06,15h 30min,non-stop
89,Alliance Air,2023-12-14,Bhubaneswar,Goa,BHU-DEL-GOA,00:34,14:10,9h 0min,1 stop
90,Star Air,2023-06-24,Surat,Kolkata,SUR-BHU-BAN-GOA-KOL,05:11,03:27,1h 30min,3 stops
91,SpiceJet,2025-02-13,Surat,Chennai,SUR-PUN-RAI-BHU-CHE,13:06,05:14,13h 15min,3 stops
92,Akasa Air,2023-01-27,Patna,Bhubaneswar,PAT-GUW-BAN-VAR-BHU,22:02,22:12,4h 30min,3 stops
93,Alliance Air,2020-02-27,Guwahati,Raipur,GUW-COC-JAI-MUM-RAI,09:42,21:26,14h 0min,3 stops
94,GoAir,2022-04-22,Kolkata,Surat,KOL-GOA-SUR,16:20,17:29,2h 45min,1 stop
95,AirAsia India,2019-12-12,Chennai,Delhi,CHE-IND-DEL,05:53,08:45,10h 0min,1 stop
96,Star Air,2024-05-18,Chennai,Delhi,CHE-KOL-SUR-VAR-DEL,18:38,05:19,14h 30min,3 stops
97,GoAir,2022-10-19,Ahmedabad,Surat,AHM-JAI-GOA-MUM-SUR,12:23,13:32,12h 45min,3 stops
98,TruJet,2019-03-25,Cochin,Mumbai,COC-MUM,17:17,00:28,4h 0min,non-stop
99,Star Air,2020-09-27,Varanasi,Kolkata,VAR-BAN-LUC-AHM-KOL,12:02,01:33,2h 0min,3 stops
100,AirAsia India,2023-10-09,Bangalore,Varanasi,BAN-DEL-VAR,09:00,20:48,9h 0min,1 stop
101,Air India,2022-07-06,Patna,Kolkata,PAT-IND-GUW-CHE-KOL,16:07,07:54,15h 45min,3 stops
102,Akasa Air,2021-04-06,Cochin,Mumbai,COC-IND-VAR-MUM,01:42,23:24,3h 15min,2 stops
103,Star Air,2022-10-20,Hyderabad,Lucknow,HYD-GOA-IND-PAT-LUC,04:43,05:52,4h 15min,3 stops
104,Alliance Air,2025-08-04,Patna,Indore,PAT-IND,22:21,06:23,15h 45min,non-stop
105,Alliance Air,2019-08-11,Mumbai,Chennai,MUM-CHE,16:34,12:18,7h 45min,non-stop
106,Vistara,2023-10-06,Pune,Bhubaneswar,PUN-KOL-IND-BHU,08:13,11:29,3h 0min,2 stops
107,SpiceJet,2021-05-18,Ahmedabad,Hyderabad,AHM-HYD,11:47,19:26,8h 0min,non-stop
108,TruJet,2021-02-04,Guwahati,Surat,GUW-JAI-PAT-BHU-SUR,09:19,11:19,12h 15min,3 stops
109,Air India,2022-01-11,Bangalore,Raipur,BAN-KOL-VAR-NAG-RAI,22:31,05:25,11h 45min,3 stops
110,Vistara,2022-04-21,Cochin,Patna,COC-BHU-RAI-JAI-PAT,18:03,09:04,1h 0min,3 stops
111,GoAir,2025-01-17,Nagpur,Pune,NAG-SUR-PUN,14:18,06:49,12h 15min,1 stop
112,IndiGo,2022-09-08,Pune,Ahmedabad,PUN-CHE-GOA-AHM,11:41,13:30,5h 15min,2 stops
113,TruJet,2022-04-19,Varanasi,Mumbai,VAR-MUM,17:01,11:35,14h 15min,non-stop
114,GoAir,2023-10-13,Bhubaneswar,Nagpur,BHU-SUR-KOL-NAG,14:45,05:32,5h 30min,2 stops
115,Air India,2020-09-21,Pune,Indore,PUN-JAI-BAN-IND,09:32,02:30,1h 15min,2 stops
116,Vistara,2023-05-23,Varanasi,Delhi,VAR-BHU-SUR-GUW-DEL,13:01,23:55,6h 0min,3 stops
117,IndiGo,2021-05-23,Bangalore,Surat,BAN-SUR,14:07,03:54,11h 0min,non-stop
118,SpiceJet,2021-03-23,Surat,Goa,SUR-AHM-PUN-GOA,12:14,02:48,8h 30min,2 stops
119,SpiceJet,2019-11-18,Surat,Raipur,SUR-GUW-RAI,22:59,07:18,1h 45min,1 stop
120,Vistara,2024-01-27,Bhubaneswar,Lucknow,BHU-LUC,04:45,13:52,15h 30min,non-stop
121,Air India,2020-11-17,Goa,Kolkata,GOA-KOL,18:15,07:01,14h 0min,non-stop
122,Air India,2025-06-12,Chennai,Raipur,CHE-COC-SUR-RAI,14:55,21:19,14h 15min,2 stops
123,Star Air,2024-05-19,Nagpur,Patna,NAG-KOL-BAN-PAT,07:09,23:17,4h 45min,2 stops
124,AirAsia India,2023-07-22,Surat,Indore,SUR-GOA-MUM-IND,21:10,05:34,1h 0min,2 stops
125,TruJet,2020-04-20,Varanasi,Guwahati,VAR-HYD-PUN-CHE-GUW,13:02,11:33,12h 0min,3 stops
126,AirAsia India,2020-04-11,Goa,Cochin,GOA-CHE-HYD-COC,21:05,13:29,11h 30min,2 stops
127,TruJet,2024-05-13,Jaipur,Hyderabad,JAI-NAG-LUC-HYD,12:23,09:17,5h 45min,2 stops
128,Alliance Air,2024-11-05,Ahmedabad,Nagpur,AHM-NAG,06:58,23:20,4h 30min,non-stop
129,TruJet,2025-02-05,Ahmedabad,Hyderabad,AHM-IND-HYD,02:18,14:34,10h 0min,1 stop
130,TruJet,2025-05-09,Jaipur,Varanasi,JAI-BAN-GOA-HYD-VAR,11:23,02:56,8h 45min,3 stops
131,TruJet,2025-08-15,Patna,Chennai,PAT-MUM-CHE,18:12,13:37,1h 15min,1 stop
132,Vistara,2022-10-19,Varanasi,Lucknow,VAR-PAT-BHU-LUC,16:29,00:32,6h 30min,2 stops
133,Alliance Air,2020-02-28,Bangalore,Lucknow,BAN-CHE-PAT-RAI-LUC,12:56,23:49,15h 45min,3 stops
134,TruJet,2022-10-07,Raipur,Guwahati,RAI-DEL-GUW,08:18,14:55,4h 30min,1 stop
135,Star Air,2023-01-27,Surat,Raipur,SUR-RAI,12:06,02:57,2h 30min,non-stop
136,Air India,2021-07-08,Indore,Jaipur,IND-CHE-JAI,08:30,01:49,13h 30min,1 stop
137,GoAir,2024-05-14,Goa,Kolkata,GOA-KOL,09:12,23:27,3h 0min,non-stop
138,AirAsia India,2020-06-21,Mumbai,Raipur,MUM-IND-RAI,16:06,18:49,10h 45min,1 stop
139,GoAir,2025-07-28,Varanasi,Kolkata,VAR-KOL,02:07,16:04,11h 15min,non-stop
140,Alliance Air,2023-02-28,Jaipur,Nagpur,JAI-NAG,23:30,01:38,15h 30min,non-stop
141,TruJet,2020-09-27,Goa,Bhubaneswar,GOA-IND-JAI-BHU,23:07,11:39,9h 0min,2 stops
142,Vistara,2025-11-04,Raipur,Kolkata,RAI-PUN-PAT-CHE-KOL,09:21,11:16,11h 0min,3 stops
143,Alliance Air,2023-08-08,Hyderabad,Kolkata,HYD-IND-VAR-KOL,07:32,08:40,6h 15min,2 stops
144,GoAir,2024-08-27,Hyderabad,Chennai,HYD-CHE,18:29,19:19,3h 45min,non-stop
145,Air India,2021-08-13,Varanasi,Pune,VAR-MUM-BHU-PUN,08:03,23:05,2h 30min,2 stops
146,SpiceJet,2024-04-05,Lucknow,Ahmedabad,LUC-BHU-AHM,21:04,23:16,10h 30min,1 stop
147,Air India,2021-04-10,Cochin,Kolkata,COC-KOL,02:01,18:40,9h 45min,non-stop
148,Star Air,2023-05-05,Varanasi,Nagpur,VAR-BAN-CHE-PAT-NAG,17:51,23:19,7h 15min,3 stops
149,Vistara,2020-02-11,Ahmedabad,Jaipur,AHM-JAI,20:26,14:59,8h 45min,non-stop
150,SpiceJet,2022-12-06,Bangalore,Bhubaneswar,BAN-LUC-COC-BHU,23:39,21:24,15h 45min,2 stops
151,Star Air,2023-10-12,Cochin,Patna,COC-PAT,11:52,07:29,3h 0min,non-stop
152,GoAir,2024-02-19,Patna,Surat,PAT-NAG-BHU-CHE-SUR,21:34,01:25,5h 30min,3 stops
153,TruJet,2022-10-08,Surat,Chennai,SUR-KOL-CHE,12:42,03:47,11h 0min,1 stop
154,Alliance Air,2021-06-02,Pune,Ahmedabad,PUN-AHM,20:57,12:46,6h 15min,non-stop
155,Star Air,2022-03-16,Guwahati,Bhubaneswar,GUW-RAI-DEL-BHU,21:32,21:46,6h 15min,2 stops
156,Star Air,2024-04-20,Patna,Chennai,PAT-CHE,08:27,12:28,6h 15min,non-stop
157,Air India,2022-12-02,Jaipur,Goa,JAI-PAT-NAG-GOA,22:48,05:13,3h 0min,2 stops
158,TruJet,2020-05-09,Guwahati,Ahmedabad,GUW-JAI-AHM,20:16,02:00,4h 45min,1 stop
159,Alliance Air,2020-10-02,Lucknow,Cochin,LUC-PAT-BHU-COC,10:48,11:32,14h 30min,2 stops
160,Akasa Air,2020-07-10,Nagpur,Bhubaneswar,NAG-BHU,08:59,18:25,12h 30min,non-stop
161,Alliance Air,2022-10-02,Surat,Indore,SUR-AHM-GUW-LUC-IND,00:50,12:15,10h 45min,3 stops
162,IndiGo,2020-02-01,Chennai,Ahmedabad,CHE-DEL-AHM,18:01,14:06,8h 15min,1 stop
163,IndiGo,2023-05-23,Bangalore,Surat,BAN-DEL-IND-SUR,11:42,13:57,4h 30min,2 stops
164,AirAsia India,2020-12-04,Bangalore,Hyderabad,BAN-BHU-HYD,21:40,19:43,8h 0min,1 stop
165,TruJet,2023-11-07,Hyderabad,Mumbai,HYD-GUW-LUC-MUM,05:20,20:00,15h 30min,2 stops
166,GoAir,2020-07-26,Surat,Jaipur,SUR-PUN-LUC-NAG-JAI,02:02,16:31,5h 30min,3 stops
167,Akasa Air,2025-07-07,Chennai,Lucknow,CHE-SUR-VAR-LUC,04:47,00:21,5h 30min,2 stops
168,TruJet,2024-03-18,Nagpur,Lucknow,NAG-MUM-GOA-LUC,02:46,02:15,2h 15min,2 stops
169,Alliance Air,2019-09-02,Ahmedabad,Jaipur,AHM-BAN-JAI,23:18,12:20,3h 0min,1 stop
170,SpiceJet,2020-10-28,Nagpur,Goa,NAG-PAT-VAR-SUR-GOA,11:37,04:08,7h 15min,3 stops
171,Star Air,2021-08-21,Jaipur,Ahmedabad,JAI-AHM,16:51,15:16,12h 45min,non-stop
172,IndiGo,2019-06-14,Kolkata,Raipur,KOL-MUM-VAR-RAI,05:20,22:58,12h 30min,2 stops
173,Alliance Air,2020-01-15,Ahmedabad,Bhubaneswar,AHM-VAR-NAG-BHU,08:05,02:59,5h 15min,2 stops
174,GoAir,2023-07-08,Goa,Nagpur,GOA-BHU-NAG,10:01,19:18,11h 0min,1 stop
175,Alliance Air,2019-12-04,Kolkata,Nagpur,KOL-COC-AHM-NAG,07:04,17:15,11h 30min,2 stops
176,Alliance Air,2022-11-27,Jaipur,Mumbai,JAI-MUM,01:10,13:12,13h 30min,non-stop
177,Star Air,2022-07-11,Pune,Chennai,PUN-GOA-VAR-HYD-CHE,18:41,22:29,9h 45min,3 stops
178,Vistara,2020-08-23,Jaipur,Chennai,JAI-IND-CHE,21:50,09:46,15h 15min,1 stop
179,TruJet,2022-10-28,Guwahati,Ahmedabad,GUW-AHM,22:56,23:01,14h 0min,non-stop
180,SpiceJet,2023-08-24,Mumbai,Guwahati,MUM-JAI-GUW,10:13,14:39,14h 45min,1 stop
181,Akasa Air,2020-12-18,Goa,Guwahati,GOA-AHM-PAT-GUW,11:43,11:45,10h 45min,2 stops
182,Star Air,2024-02-28,Bhubaneswar,Indore,BHU-RAI-AHM-GOA-IND,17:41,08:01,7h 15min,3 stops
183,TruJet,2024-06-21,Patna,Pune,PAT-MUM-NAG-CHE-PUN,11:37,19:20,6h 0min,3 stops
184,TruJet,2023-02-09,Jaipur,Indore,JAI-PUN-IND,10:40,18:33,8h 45min,1 stop
185,IndiGo,2024-04-04,Raipur,Goa,RAI-BHU-GOA,14:24,11:21,6h 30min,1 stop
186,TruJet,2023-01-02,Guwahati,Pune,GUW-RAI-GOA-CHE-PUN,23:18,13:20,13h 0min,3 stops
187,Akasa Air,2020-08-10,Mumbai,Bhubaneswar,MUM-BAN-BHU,16:39,03:21,11h 15min,1 stop
188,Akasa Air,2021-09-27,Delhi,Bangalore,DEL-AHM-BHU-BAN,23:55,08:52,14h 45min,2 stops
189,Star Air,2020-11-28,Bhubaneswar,Pune,BHU-IND-AHM-PUN,18:54,08:01,14h 15min,2 stops
190,SpiceJet,2024-09-16,Cochin,Kolkata,COC-RAI-KOL,13:21,06:18,7h 45min,1 stop
191,Vistara,2020-04-21,Goa,Hyderabad,GOA-JAI-HYD,20:50,23:13,7h 30min,1 stop
192,Akasa Air,2023-05-10,Lucknow,Ahmedabad,LUC-AHM,07:56,08:32,9h 0min,non-stop
193,Air India,2024-02-01,Varanasi,Raipur,VAR-LUC-GUW-SUR-RAI,00:52,17:15,14h 30min,3 stops
194,SpiceJet,2022-02-19,Pune,Raipur,PUN-COC-IND-MUM-RAI,06:43,08:57,4h 45min,3 stops
195,TruJet,2022-04-12,Guwahati,Lucknow,GUW-VAR-KOL-HYD-LUC,06:47,16:20,5h 15min,3 stops
196,SpiceJet,2024-03-23,Chennai,Bhubaneswar,CHE-GUW-LUC-KOL-BHU,01:02,07:25,1h 30min,3 stops
197,AirAsia India,2023-04-26,Nagpur,Lucknow,NAG-MUM-LUC,10:32,04:15,10h 45min,1 stop
198,SpiceJet,2024-12-27,Raipur,Hyderabad,RAI-HYD,14:14,15:15,6h 15min,non-stop
199,Alliance Air,2020-03-26,Bhubaneswar,Delhi,BHU-DEL,15:06,15:17,14h 45min,non-stop
200,Star Air,2024-01-10,Hyderabad,Pune,HYD-AHM-GUW-PUN,02:27,18:40,14h 45min,2 stops
201,TruJet,2024-04-11,Kolkata,Bangalore,KOL-SUR-NAG-BAN,20:00,06:50,1h 15min,2 stops
202,Alliance Air,2025-07-27,Surat,Bhubaneswar,SUR-GOA-JAI-BHU,07:19,14:35,7h 45min,2 stops
203,TruJet,2022-04-26,Indore,Chennai,IND-GOA-PAT-AHM-CHE,00:53,12:29,10h 45min,3 stops
204,Alliance Air,2021-11-20,Pune,Kolkata,PUN-CHE-KOL,06:05,21:57,6h 30min,1 stop
205,Alliance Air,2022-11-23,Chennai,Guwahati,CHE-BHU-COC-GUW,11:49,02:33,1h 45min,2 stops
206,AirAsia India,2019-01-12,Varanasi,Patna,VAR-DEL-PAT,13:15,13:25,4h 15min,1 stop
207,Star Air,2022-02-08,Bhubaneswar,Cochin,BHU-BAN-GUW-COC,11:31,18:03,4h 0min,2 stops
208,Alliance Air,2023-07-01,Nagpur,Varanasi,NAG-VAR,04:38,17:31,1h 0min,non-stop
209,SpiceJet,2019-01-25,Lucknow,Chennai,LUC-CHE,23:48,03:41,2h 15min,non-stop
210,Vistara,2024-11-01,Pune,Chennai,PUN-GUW-BHU-CHE,16:35,17:51,13h 15min,2 stops
211,Vistara,2025-04-22,Pune,Lucknow,PUN-MUM-PAT-LUC,02:16,03:18,12h 15min,2 stops
212,Vistara,2024-02-12,Kolkata,Varanasi,KOL-COC-VAR,16:22,19:12,11h 30min,1 stop
213,AirAsia India,2021-05-20,Varanasi,Hyderabad,VAR-BHU-PUN-RAI-HYD,03:33,00:59,11h 0min,3 stops
214,Air India,2023-02-14,Chennai,Guwahati,CHE-NAG-GUW,16:19,20:04,7h 45min,1 stop
215,Star Air,2021-04-16,Goa,Kolkata,GOA-CHE-KOL,08:50,00:46,5h 0min,1 stop
216,TruJet,2021-07-06,Pune,Lucknow,PUN-NAG-LUC,05:39,00:50,13h 30min,1 stop
217,Alliance Air,2022-03-25,Surat,Patna,SUR-DEL-MUM-PAT,05:31,19:44,7h 0min,2 stops
218,Star Air,2019-06-13,Jaipur,Goa,JAI-PUN-GUW-KOL-GOA,10:55,12:44,1h 30min,3 stops
219,AirAsia India,2021-01-22,Mumbai,Kolkata,MUM-DEL-GUW-HYD-KOL,22:39,19:11,13h 45min,3 stops
220,Vistara,2025-02-05,Raipur,Kolkata,RAI-MUM-JAI-KOL,20:24,04:47,5h 30min,2 stops
221,Alliance Air,2025-04-19,Indore,Cochin,IND-BHU-COC,11:10,22:40,15h 45min,1 stop
222,Akasa Air,2020-05-10,Mumbai,Goa,MUM-PUN-NAG-IND-GOA,10:41,10:50,8h 15min,3 stops
223,Star Air,2019-04-01,Hyderabad,Bhubaneswar,HYD-BHU,06:14,08:36,10h 30min,non-stop
224,SpiceJet,2022-03-20,Mumbai,Ahmedabad,MUM-AHM,08:19,09:24,11h 15min,non-stop
225,Alliance Air,2024-06-23,Kolkata,Hyderabad,KOL-MUM-GUW-HYD,15:23,16:45,11h 0min,2 stops
226,TruJet,2020-11-27,Bhubaneswar,Jaipur,BHU-DEL-MUM-JAI,13:45,18:51,2h 30min,2 stops
227,GoAir,2020-12-01,Ahmedabad,Kolkata,AHM-DEL-JAI-KOL,13:39,05:59,15h 30min,2 stops
228,Alliance Air,2021-01-12,Cochin,Indore,COC-IND,19:50,13:50,13h 45min,non-stop
229,TruJet,2025-07-04,Patna,Bhubaneswar,PAT-BAN-BHU,04:06,22:47,10h 45min,1 stop
230,Alliance Air,2022-12-23,Surat,Nagpur,SUR-HYD-BAN-JAI-NAG,11:34,00:37,2h 30min,3 stops
231,Akasa Air,2024-05-26,Nagpur,Hyderabad,NAG-BHU-LUC-HYD,05:36,04:10,1h 15min,2 stops
232,GoAir,2020-11-01,Guwahati,Pune,GUW-SUR-PUN,19:23,16:49,9h 0min,1 stop
233,SpiceJet,2020-03-14,Pune,Chennai,PUN-CHE,13:52,11:33,11h 45min,non-stop
234,IndiGo,2025-02-03,Lucknow,Mumbai,LUC-MUM,07:03,13:21,6h 45min,non-stop
235,Vistara,2020-08-28,Cochin,Kolkata,COC-BAN-GUW-JAI-KOL,17:31,09:32,10h 0min,3 stops
